Compound Name,Formula,Water Solubility (mg/L),Water Solubility (g/L)
"1,2-Bis(2-Chloroethylsulfonyl)ethane",C6H12Cl2O4S2,10100,10.1
"1,2-Bis(2-Chloroethoxy)ethane",C6H12Cl2O2,18900,18.9
"1,2-Benzisothiazole, 2,3-Dihydro-2-Methyl-, 1,1-",C8H9NO2S,7100,7.1
"1,2-Benzisothiazol-3-Amine, N-Phenyl-, 1,1-Dioxi",C13H10N2O2S,50,0.05
"1,2-Benzisothiazol-3-Amine, 1,1-Dioxide",C7H6N2O2S,640,0.64
"1,2-Benzenediol, 4-(2-Propenyl)-",C9H10O2,25000,25
"1,2-Benzenediol, 4-(1-Propenyl)-",C9H10O2,6700,6.7
"1,2-Benzenediol, 4-(1,1-Dimethylethyl)-",C10H14O2,2000,2
"1,2-Benzenedimethanol",C8H10O2,158000,158
"1,2-Benzenedicarboxylic Acid, Mono(2-Hydroxyethy",C10H10O5,6920,6.92
"1,2-Benzenedicarboxylic Acid, 3-Nitro-, 2-Methyl",C9H7NO6,1850,1.85
"1,2-Benzenedicarboxylic Acid, 3-Chloro-",C8H5ClO4,21200,21.2
"1,2-Benzenedicarboxylic Acid, 3,4-Dimethoxy-, 2-",C11H12O6,2190,2.19
"1,2-Benzenedicarboxylic Acid, 1,2-Ethanediyl Est",C18H14O8,533,0.533
"1,2-Benzenedicarboxamide, N,n,n',n'-Tetramethyl-",C12H16N2O2,710000,710
"1,2-Benzenedicarboxamide",C8H8N2O2,600,0.6
"1,2-Benzenediamine",C6H8N2,40400,40.4
"1,2-Anthracenedicarboxylic Acid, 9,10-Dihydro-9,",C16H8O6,455,0.455
"1(2h)-Pyrimidinecarboxamide, N-Butyl-5-Fluoro-3,",C9H12FN3O3,820,0.82
"1(2h)-Pyrimidinecarboxamide, 5-Fluoro-3,4-Dihydr",C6H6FN3O3,620,0.62
"1(2h)-Pyrimidinecarboxamide, 5-Fluoro-3,4-Dichlo",C11H8FN3O3,6000,6
1(2h)-Isoquinolinone,C9H7NO,476,0.476
"13h-Dibenzo(a,i)carbazole",C20H21N,104,0.104
"1,3-Propanediol, Monobenzoate",C10H12O3,10000,10
"1,3-Propanediol, Diacetate",C7H12O4,100000,100
"1,3-Propanediol, 2-Nitro-2- (nitrooxy)methyl -,",C4H6N4O11,816,0.816
"1,3-Propanediol, 2-Nitro-1-Phenyl-, Diacetate (e",C13H15NO6,30,0.03
"1,3-Propanediol, 2-Bromo-2-Nitro-",C3H6BrNO4,200000,200
"1,3-Propanediol, 2-Amino-2-Ethyl-",C5H13NO2,1000000,1000
"1,3-Propanediol, 2-Amino-1-(4-Nitrophenyl)-, [r-",C9H12N2O4,2600,2.6
"1,3-Propanediol, 2-(hydroxymethyl)-2-Methyl-",C5H12O3,14000,14
"1,3-Propanediol, 2-(2-Propenyloxy)-",C6H12O3,400000,400
"1,3-Propanediol, 2,2-Bis(brme)-",C5H10Br2O2,38000,38
"1,3-Propanediol, 2,2-Bis (acetyloxy)methyl -, Di",C13H20O8,8220,8.22
"1,3-Propanediamine, N-Phenyl-",C9H14N2,3330,3.33
"1,3-Propanediamine, N,n-Dimethyl-",C5H14N2,1000000,1000
"1,3-Naphthalenedisulfonic Acid, 7-Hydroxy-8-(1-N",C20H14N2O7S2,210000,210
"1,3-Disiloxanediol, 1,1,3,3-Tetramethyl-",C4H14O3Si2,110000,110
"1,3-Diphenyl-1-Triazene",C12H11N3,500,0.5
"1,3-Dioxolane-4,4-Diacetic Acid, 5-Oxo-",C7H8O7,50000,50
"1,3-Dioxolane, 2-Methyl-",C4H8O2,667000,667
"1,3-Dioxolane, 2-Ethyl-",C5H10O2,200000,200
"1,3-Dioxolane, 2-(2-Methylpropyl)-",C7H14O2,55600,55.6
"1,3-Dioxolane, 2-(1-Methylethyl)-",C6H12O2,100000,100
"1,3-Dioxolane, 2,2-Dimethyl-",C5H10O2,333000,333
"1,3-Dioxolane, 2,2,4-Trimethyl-",C6H12O2,111000,111
"1,3-Dioxolan-2-One",C3H4O3,1000000,1000
"1,3-Dioxalane",C3H6O2,1000000,1000
"1,3-Dinitrobenzene",C6H4N2O4,533,0.533
"1,3-Dimethylol-5,5-Dimethylhydantoin",C7H12N2O4,773000,773
"1,3-Dimethylnapthalene",C12H12,8,0.008
"1,3-Dimethyl Uric Acid",C7H8N4O3,520,0.52
"1,3-Diiodobenzene",C6H4I2,8.88,0.00888
"1,3-Dichloropropene, (z)",C3H4Cl2,2180,2.18
"1,3-Dichloropropene (trans)",C3H4Cl2,2800,2.8
"1,3-Dichloropropene (isomer Mix)",C3H4Cl2,2800,2.8
"1,3-Dichloropropane",C3H6Cl2,2750,2.75
"1,3-Dichloro-5,5-Dimethylhydantoin",C5H6Cl2N2O2,500,0.5
"1,3-Dichloro-2-Propanol",C3H6Cl2O,99000,99
"1,3-Dibromopropane",C3H6Br2,1700,1.7
"1,3-Diacetylurea",C5H8N2O3,70000,70
"1,3-Cyclopentanedicarboxylic Acid, 1,4,4-Trimeth",C10H16O4,4600,4.6
"1,3-Cyclohexanedione, 5-Phenyl-",C12H12O2,580,0.58
"1,3-Cyclohexanedione, 2,2'-Methylenebis[5,5-Dime",C17H24O4,7500,7.5
"1,3-Cyclohexanedione, 2,2'-Ethylidenebis[5,5-Dim",C18H26O4,79,0.079
"1,3-Cyclohexadiene-1,4-Dicarboxylic Acid",C8H8O4,53,0.053
"1,3-Butanedione, 1-Phenyl-",C10H10O2,383,0.383
"1,3-Butanediol",C4H10O2,1000000,1000
"1,3-Butadiene",C4H6,735,0.735
"1,3-Bis(2-Chloroet)-1-Nitrosourea",C5H9Cl2N3O2,4000,4
"1,3-Benzodioxole-5-Methanol, 6-Nitro-",C8H7NO5,170,0.17
"1,3-Benzodioxole-5-Acetic Acid, .alpha.-Oxo-",C9H6O5,12500,12.5
"1,3-Benzodioxole-5-Acetaldehyde",C9H8O3,1800,1.8
"1,3-Benzodioxole-5,6-Dicarboxylic Acid",C9H6O6,6000,6
"1,3-Benzenesulfonic Acid, 2,5-Diamino",C6H8N2O6S2,229000,229
"1,3-Benzenedisulfonamide",C6H8N2O4S2,1600,1.6
"1,3-Benzenediol, 5-(methylthio)-",C7H8O2S,2500,2.5
"1,3-Benzenediol, 5-(butylthio)-",C10H14O2S,600,0.6
"1,3-Benzenediol, 4-Pentyl-",C11H16O2,2000,2
"1,3-Benzenediol, 4-Cyclohexyl-",C12H16O2,510,0.51
"1,3-Benzenediol, 4-(2-Phenylethyl)-",C14H14O2,410,0.41
"1,3-Benzenediol, 4,6-Dinitro-",C6H4N2O6,78.1,0.0781
"1,3-Benzenediol, 2-Methyl-",C7H8O2,263000,263
"1,3-Benzenedimethanol",C8H10O2,80800,80.8
"1,3-Benzenedicarboxylic Acid, 5-Chloro-",C8H5ClO4,290,0.29
"1,3-Benzenedicarboxylic Acid, 4-Sulfo-",C8H6O7S,1000000,1000
"1,3-Benzenedicarboxylic Acid, 4-Nitro-",C8H5NO6,9670,9.67
"1,3-Benzenedicarboxylic Acid, 4-Methoxy-",C9H8O5,150,0.15
"1,3-Benzenedicarboxylic Acid, 2-Nitro-",C8H5NO6,2160,2.16
"1,3-Benzenedicarboxylic Acid, 2-Methoxy-",C9H8O5,1000,1
"1,3-Benzenedicarboxylic Acid, 2-Hydroxy-5-Methyl",C9H8O5,1300,1.3
"1,3-Benzenedicarboxylic Acid, 2-Hydroxy- (9ci)",C8H6O5,26400,26.4
"1,3-Benzenedicarboxamide, N,n,n',n'-Tetramethyl-",C12H16N2O2,676000,676
"1,3-Benzenediamine",C6H8N2,238000,238
"1(3h)isobenzofuranone-3,3-Dimethyl",C10H10O2,2200,2.2
"1(3h)-Isobenzofuranone,3,3-Diethyl",C12H14O2,260,0.26
"1(3h)-Isobenzofuranone, 6-Nitro-",C8H5NO4,400,0.4
"1(3h)-Isobenzofuranone, 6-Iodo-",C8H5IO2,160,0.16
"1(3h)-Isobenzofuranone, 6-Chloro-",C8H5ClO2,556,0.556
"1(3h)-Isobenzofuranone, 6-Bromo-",C8H5BrO2,480,0.48
"1(3h)-Isobenzofuranone, 6-Amino-3-Methyl-",C9H9NO2,2650,2.65
"1(3h)-Isobenzofuranone, 6-Amino-",C8H7NO2,1360,1.36
"1(3h)-Isobenzofuranone, 3-Methyl-6-Nitro-",C9H7NO4,468,0.468
"1(3h)-Isobenzofuranone, 3-Ethyl-",C10H10O2,2900,2.9
"1(3h)-Isobenzofuranone, 3,3-Diphenyl-",C20H14O2,40,0.04
"1(3h)-Isobenzofuranone, 3,3-Dimethyl-6-Nitro-",C10H9NO4,184,0.184
"1(3h)-Isobenzofuranone, 3,3-Bis(6-Hydroxy[1,1'-B",C32H22O4,130,0.13
"14h-Dibenzo[a,j]phenothiazine",C20H13NS,3700,3.7
"1,4-Piperazinedicarboxylic Acid, Diethyl Ester",C10H18N2O4,43000,43
"1,4-Pentadiene",C5H8,558,0.558
"1,4-Naphthalenedione, 5-Hydroxy-2-Methyl-",C11H8O3,300,0.3
"1,4-Naphthalenedione, 2-(methylthio)-",C11H8O2S,7,0.007
"1,4-Dithiane",C4H8S2,3000,3
"1,4-Dioxane, 2,5-Dimethoxy-2,5-Dimethyl-",C8H16O4,10000,10
"1,4-Dioxane",C4H8O2,1000000,1000
"1,4-Dimethylnaphthalene",C12H12,11.4,0.0114
"1,4-Dimethylcyclohexane (trans)",C8H16,3.84,0.00384
"1,4-Dimethylcyclohexane",C8H16,3.84,0.00384
"1,4-Diiodobenzene",C6H4I2,1.4,0.0014
"1,4-Dihydroxy-9,10-Anthracenedione",C14H8O4,961,0.961
"1,4-Dichloronaphthalene",C10H6Cl2,86.5,0.0865
"1,4-Dichlorobutane",C4H8Cl2,15300,15.3
"1,4-Dichlorobenzene",C6H4Cl2,81.3,0.0813
"1,4-Dichloro-2-Butene(trans)",C4H6Cl2,850,0.85
"1,4-Dichloro-2-Butene(cis)",C4H6Cl2,580,0.58
"1,4-Dichloro-2-Butene",C4H6Cl2,580,0.58
"1,4-Dichloro-2,5-Dimethoxybenzene",C8H8Cl2O2,8,0.008
"1,4-Dibromobutane",C4H8Br2,350,0.35
"1,4-Dibromobenzene",C6H4Br2,20,0.02
"1,4-Diazabicyclo(2,2,2)octane (dabco)",C6H12N2,450000,450
"1,4-Cyclohexanediol, 1,4-Dimethyl-,",C8H16O2,35000,35
"1,4-Cyclohexanedimethanol",C8H16O2,920000,920
"1,4-Cyclohexadiene-1,2-Dicarboxylic Acid",C8H8O4,16800,16.8
"1,4-Cyclohexadiene",C6H8,700,0.7
"1,4-Butanediol",C4H10O2,1000000,1000
"1,4-Bis(methylamino)anthraquinone",C16H14N2O2,370,0.37
"1,4-Benzenedisulfonamide",C6H8N2O4S2,700,0.7
"1,4-Benzenedimethanol",C8H10O2,56800,56.8
"1,4-Benzenedicarboxylic Acid, 2-Methoxy-",C9H8O5,2000,2
"1,4-Benzenedicarboxylic Acid, 2-Bromo-",C8H5BrO4,1800,1.8
"1,4-Benzenedicarboxamide, N,n,n',n'-Tetramethyl-",C12H16N2O2,406000,406
"1,4-Benzenedicarboxaldehyde",C8H6O2,200,0.2
"1,4-Benzenedicarboperoxoic Acid",C8H6O6,55.6,0.0556
"1,4-Benzenediamine",C6H8N2,37000,37
"1,5-Pentanediol, Dipropanoate",C11H20O4,1270,1.27
"1,5-Naphthyridin-4(1h)-One",C8H6N2O,833,0.833
"1,5-Hexadiene",C6H10,169,0.169
"1,5-Dimethylnaphthalene",C12H12,2.74,0.00274
"1,5-Dihydroxynaphthalene",C10H8O2,165,0.165
"1,5-Dichloronaphthalene",C10H6Cl2,37.9,0.0379
"1,5-Diaminonaphthalene",C10H10N2,380,0.38
"1,5-Anthraquinonedisulfonic Acid",C14H8O8S2,666000,666
"1,6-Naphthyridin-8-Ol",C8H6N2O,3220,3.22
"1,6-Naphthalenedisulfonic Acid, 4-Amino-",C10H9NO6S2,6900,6.9
"1,6-Naphthalenedisulfonic Acid",C10H8O6S2,1000000,1000
"1,6-Heptadiene",C7H12,1650,1.65
"1,6-Dioxaspiro[4,4]nonane, 2,7-Dimethyl-",C9H16O2,55600,55.6
"1,6-Dioxaspiro[4,4]nonane, 2,7-Diethyl-",C11H20O2,2630,2.63
"1,6-Dioxaspiro[4,4]nonane, 2,2,7,7-Tetramethyl-",C11H20O2,2000,2
"1,6-Dioxaspiro[4,4]nonane",C7H12O2,100000,100
"1,6-Bis(trimethoxysilyl)hexane",C12H30O6Si2,52.6,0.0526
"1,6-Anthracenedisulfonic Acid, 9,10-Dihydro-9,10",C14H8O8S2,1000000,1000
17-a-Methyl Testosterone,C20H30O2,33.9,0.0339
17-Alpha-Hydroxyprogesterone,C21H30O3,6.48,0.00648
"1,7-Phenanthroline",C12H8N2,376,0.376
"1,7-Naphthyridin-8(7h)-One",C8H6N2O,10500,10.5
"1,7-Dimethyl Uric Acid",C7H8N4O3,710,0.71
"1,8-Nonadiyne",C9H12,125,0.125
"1,8-Naphthalenediamine",C10H10N2,850,0.85
"1,8-Dichloronaphthalene",C10H6Cl2,31.5,0.0315
"1,8-Cineole",C10H18O,3500,3.5
"1,8-Anthraquinonedisulfonic Acid",C14H8O8S2,6660000,6660
2-(1h)-Quinolinone,C9H7NO,1050,1.05
"2(1h)-Quinolinone, 4-Hydroxy-",C9H7NO2,26,0.026
"2(1h)-Pyrimidinone, 4-Amino-6-Methyl-",C5H7N3O,4000,4
"2(1h)-Pyrimidinone, 4-Amino-5-Iodo-",C4H4IN3O,950,0.95
"2(1h)-Pyrimidinone, 4-Amino-5-Ethyl-",C6H9N3O,13300,13.3
"2(1h)-Pyridinone, 5-Iodo-1-Methyl-",C6H6INO,230000,230
"2(1h)-Pyridinone, 5-Iodo-",C5H4INO,4000,4
"2(1h)-Pyridinone, 1-Methyl-",C6H7NO,1000000,1000
"2(1h)-Pteridinone, 4-Amino-",C6H5N5O,71.4,0.0714
"2(1h)-Pteridinone, 1-Methyl-",C7H6N4O,6900,6.9
2(1h)-Pteridinone,C6H4N4O,1670,1.67
2(1h)-Pteridinethione,C6H4N4S,385,0.385
"2(1h)-Naphthalenone, Octahydro-5,8-Dihydroxy-1-m",C11H18O3,100000,100
"2(1h)-Azecinone, Octahydro-",C9H17NO,13100,13.1
2-(2-Chlorophenoxy)propanoic Acid,C9H9ClO3,1200,1.2
2-(2-Aminoethylamino)ethanol,C4H12N2O,1000000,1000
"2,2-Dimethylpropane",C5H12,33.2,0.0332
"2,2-Dimethylpentane",C7H16,4.4,0.0044
"2,2-Dimethyloxirane",C4H8O,58000,58
"2,2-Dimethylhexane",C8H18,20,0.02
"2,2-Dimethylbutane",C6H14,21.2,0.0212
"2,2-Dimethyl-3-Pentanol",C7H16O,8200,8.2
"2,2-Dimethyl-1-Propanol",C5H12O,35000,35
"2,2-Dimethyl-1-Pentanol",C7H16O,4230,4.23
"2,2-Dimethyl-1-Butanol",C6H14O,7600,7.6
"2,2-Dimethyl Propanoic Acid",C5H10O2,21700,21.7
"2,2-Diethyl-1-Pentanol",C9H20O,547,0.547
"2,2-Diethyl-1,3-Propanediol",C7H16O2,200000,200
"2,2-Dibromo-2-Cyanoacetamide",C3H2Br2N2O,15000,15
"2,2-Bis(ethylsulfonyl)propane",C7H16O4S2,13800,13.8
"2,2-Bis(4-Hydroxy-3,5-Dibromophenyl)propane",C15H12Br4O2,17.1,0.0171
"2,2-Bipyridine",C10H8N2,5930,5.93
"2,2'-Thiobisethanol",C4H10O2S,1000000,1000
"2,2'-Dithiobisbenzothiazole",C14H8N2S4,10,0.01
"2,2'-Dichlorobiphenyl",C12H8Cl2,1.85,0.00185
"2,2'-Diamino-4,4'-Disulfanediyl-Di-Butyric Acid",C8H16N2O4S2,200,0.2
"2,2'-Biquinoline",C18H12N2,1.02,0.00102
"2,2'-Azobis(2-Methylpropionitrile)",C8H12N4,350,0.35
"2,3-Quinoxalinedione, 1,4-Dihydro-6-Methyl-",C9H8N2O2,160,0.16
"2,3-Pyridinedicarboxylic Acid, 4-Methyl-",C8H7NO4,8500,8.5
"2,3-Pentanedione",C5H8O2,66700,66.7
"2,3-Naphthalenediol",C10H8O2,293,0.293
"2,3-Dinitrotoluene",C7H6N2O4,161,0.161
"2,3-Dimethylpyridine",C7H9N,260000,260
"2,3-Dimethylphenol",C8H10O,4570,4.57
"2,3-Dimethylpentane",C7H16,5.25,0.00525
"2,3-Dimethylnaphthalene",C12H12,1.99,0.00199
"2,3-Dimethylbutane",C6H14,22.5,0.0225
"2,3-Dimethyl-3-Pentanol",C7H16O,16400,16.4
"2,3-Dimethyl-2-Pentanol",C7H16O,15700,15.7
"2,3-Dimethyl-2-Butanol",C6H14O,43500,43.5
"2,3-Dimethyl-1,3-Butadiene",C6H10,326,0.326
"2,3-Dihydro-1,2-Benzisothiazole-1,1-Dioxide",C7H7NO2S,5100,5.1
"2,3-Dichloropropene",C3H4Cl2,2150,2.15
"2,3-Dichlorophenoxyacetic Acid",C8H6Cl2O3,343,0.343
"2,3-Dichlorophenol",C6H4Cl2O,8220,8.22
"2,3-Dichloronitrobenzene",C6H3Cl2NO2,62.4,0.0624
"2,3-Dichloronaphthalene",C10H6Cl2,867,0.867
"2,3-Dichlorodibenzo-p-Dioxin",C12H6Cl2O2,149,0.149
"2,3-Dichlorobutane",C4H8Cl2,562,0.562
"2,3-Dichlorobiphenyl",C12H8Cl2,99.7,0.0997
"2,3-Dibromo-Acrylic Acid",C3H2Br2O2,49200,49.2
"2,3-Dibromo-1-Propanol",C3H6Br2O,52000,52
"2,3-Butanedione",C4H6O2,200000,200
"2,3-Butanediol (meso)",C4H10O2,1000000,1000
"2,3-Butanediol",C4H10O2,1000000,1000
"2,3'-Bipyridine",C10H8N2,40000,40
2(3h)-Thiophenone,C4H4OS,60000,60
"2(3h)-Thiazolone, 4-Methyl-",C4H5NOS,25200,25.2
"2(3h)-Pteridinone, 3-Methyl-",C7H6N4O,20000,20
"2(3h)-Furanone, 5-Methyl-",C5H6O2,50000,50
2(3h)-Benzoxazolethione,C7H5NOS,1000,1
"(2,4-Dimethylphenyl)phosphonic Acid",C8H11O3P,15000,15
24pyrimidinedione6methyl,C5H6N2O2,7000,7
"24nh2pyrimidine,5(35-Meo-4-Oetome)benzyl",C16H22N4O4,2650,2.65
"2,4-Pyridinedicarboxylic Acid",C7H5NO4,2490,2.49
"2,4-Pteridinediamine, 6,7-Diethyl-",C10H14N6,118,0.118
"2,4-Pteridinediamine",C6H6N6,333,0.333
"2,4-Pentanedione",C5H8O2,166000,166
"2,4-Pentanediol, 2-Methyl-4-(1-Naphthalenyl)-",C16H20O2,140,0.14
"2,4-Pentadienenitrile",C5H5N,15000,15
"2,4-Imidazolidinedione, 5-[(4-Methoxyphenyl)meth",C12H14N2O3,30000,30
"2,4-Imidazolidinedione, 5-Ethyl-5-Phenyl-",C11H12N2O2,1380,1.38
"2,4-Imidazolidinedione, 5-Butyl-, (?)-",C7H12N2O2,5000,5
"2,4-Imidazolidinedione, 5,5-Dimethyl-3-(phenylme",C12H14N2O2,3500,3.5
"2,4-Imidazolidinedione, 5,5-Dimethyl-",C5H8N2O2,100000,100
"2,4-Imidazolidinedione, 1,1'-Methylenebis[5-Ethy",C13H20N4O4,900,0.9
"2,4-Imidazolidinedione, 1,1'-Methylenebis[5,5-Di",C11H16N4O4,5000,5
"2,4-Hexadienedioic Acid, 3-Methyl-, 6-Methyl Est",C8H10O4,22700,22.7
"2,4-Hexadienedioic Acid, (e,e)-",C6H6O4,200,0.2
"2,4-Hexadienedioic Acid,",C6H6O4,200,0.2
"2,4-Dinitrotoluene",C7H6N2O4,200,0.2
"2,4-Dinitrophenol",C6H4N2O5,2790,2.79
"2,4-Dinitrochlorobenzene",C6H3ClN2O4,9.24,0.00924
"2,4-Dinitrobenzoic Acid",C7H4N2O6,18200,18.2
"2,4-Dinitroanisole",C7H6N2O5,155,0.155
"2,4-Dinitro-n-Phenylbenzenamine",C12H9N3O4,38,0.038
"2,4-Dimethylquinoline",C11H11N,1800,1.8
"2,4-Dimethylpyridine",C7H9N,350000,350
"2,4-Dimethylphenol",C8H10O,7870,7.87
"2,4-Dimethylpentane",C7H16,5.5,0.0055
"2,4-Dimethyl-3-Pentanone",C7H14O,5700,5.7
"2,4-Dimethyl-3-Pentanol",C7H16O,7000,7
"2,4-Dimethyl-2-Pentanol",C7H16O,13600,13.6
"2,4-Dimethyl-1-Pentanol",C7H16O,2910,2.91
"2,4-Dihydroxypyridine",C5H5NO2,6250,6.25
"2,4-Dihydroxybenzoic Acid",C7H6O4,5780,5.78
"2,4-Dihydroxyazobenzene",C12H10N2O2,200,0.2
"2,4-Dichlorophenoxyacetic Acid",C8H6Cl2O3,682,0.682
"2,4-Dichlorophenol",C6H4Cl2O,5520,5.52
"2,4-Dichlorobiphenyl",C12H8Cl2,1.15,0.00115
"2,4-Dichlorobenzoic Acid",C7H4Cl2O2,480,0.48
"2,4-Dichloroaniline",C6H5Cl2N,620,0.62
"2,4-Dichloro-6-Nitrophenol",C6H3Cl2NO3,17,0.017
"2,4-Dibromophenol",C6H4Br2O,1900,1.9
"2,4-Diamino-6-Propyl-s-Triazine",C6H11N5,18600,18.6
"2,4-Diamino-6-Isoprpyl-s-Triazine",C6H11N5,5660,5.66
"2,4-Di-t-Butylphenol",C14H22O,35,0.035
"2,4-Des",C8H8Cl2O5S,250000,250
"2,4-Deb",C15H12Cl2O3,48,0.048
"2,4-Db Sodium Salt",C10H9Cl2NaO3,200000,200
"2,4-Db",C10H10Cl2O3,46,0.046
"2,4-D, Sodium Salt",C8H5Cl2NaO3,335000,335
"2,4-D, Propyl Ester",C11H12Cl2O3,14.8,0.0148
"2,4-D, Octyl Ester",C16H22Cl2O3,317,0.317
"2,4-D, Methyl Ester",C9H8Cl2O3,258,0.258
"2,4-D, Isopropyl Ester",C11H12Cl2O3,37.3,0.0373
"2,4-D, Isooctyl Ester",C16H22Cl2O3,324,0.324
"2,4-D, Ethyl Ester",C10H10Cl2O3,111,0.111
"2,4-D, Dimethylamine Salt",C10H13Cl2NO3,750000,750
"2,4-D, Butyl Ester",C12H14Cl2O3,46,0.046
"2,4-D, Butoxyethyl Ester",C14H18Cl2O4,12,0.012
"2,4-Bis((3-Methoxypropyl)amino)-6-(methylthio)-s",C12H23N5O2S,100,0.1
"2,4'-Dichlorodiphenyl Ether",C12H8Cl2O,72.2,0.0722
"(2,5-Dioxoimidazolidin-4-Yl)acetic Acid",C5H6N2O4,11200,11.2
"2,5-Thiophenedicarboxylic Acid, Tetrahydro, (2s-",C6H8O4S,81700,81.7
"2,5-Tetrahydrofurandimethanol",C6H12O3,1000000,1000
"2,5-Selenophenedicarboxylic Acid, Tetrahydro-",C6H8O4Se,63600,63.6
"2,5-Pyrrolidinedione, 1-Pentyl-",C9H15NO2,13300,13.3
"2,5-Pyrrolidinedione, 1-Bromo-",C4H4BrNO2,14700,14.7
"2,5-Pyrrolidinedione, 1-(4-Ethoxyphenyl)-",C12H13NO3,759,0.759
"2,5-Pyrrolidinedicarboxylic Acid, 1-Methyl-, Cis",C7H11NO4,62500,62.5
"2,5-Pyrrolidinediacetic Acid, 1-Methyl-, Dimethy",C11H19NO4,154000,154
"2,5-Piperazinedione, 3-[(4-Hydroxyphenyl)methyl]",C11H12N2O3,20000,20
"2,5-Piperazinedione, 3-(1-Methylethyl)-",C7H12N2O2,20000,20
"2,5-Piperazinedione, 3,6-Bis(hydroxymethyl)-, Tr",C6H10N2O4,3400,3.4
"2,5-Piperazinedione, 3,6-Bis(hydroxymethyl)-, Ci",C6H10N2O4,54800,54.8
"2,5-Piperazinedione, 1,4-Bis(hydroxymethyl)-",C6H10N2O4,66700,66.7
"2,5-Piperazinedione",C4H6N2O2,16800,16.8
"2,5-Furandipropionic Acid, Tetrahydro-, Diethyl",C14H24O5,600,0.6
"2,5-Furandicarboxylic Acid",C6H4O5,1000,1
"2,5-Dinitrotoluene",C7H6N2O4,219,0.219
"2,5-Dinitrophenol",C6H4N2O5,385,0.385
"2,5-Dimethyltetrahydrofuran",C6H12O,118000,118
"2,5-Dimethylpyridine",C7H9N,270000,270
"2,5-Dimethylphenol",C8H10O,3540,3.54
"2,5-Dimethylaniline",C8H11N,5600,5.6
"2,5-Dimethyl-2,4-Hexadiene",C8H14,32,0.032
"2,5-Dihydroxybenzoic Acid",C7H6O4,5000,5
"2,5-Dihydroxybenzaldehyde",C7H6O3,13800,13.8
"2,5-Dichlorophenol",C6H4Cl2O,6190,6.19
"2,5-Dichloronitrobenzene",C6H3Cl2NO2,950,0.95
"2,5-Dichlorodiphenyl Ether",C12H8Cl2O,2.56,0.00256
"2,5-Dichlorobiphenyl",C12H8Cl2,1.12,0.00112
"2,5-Dichlorobenzoic Acid",C7H4Cl2O2,800,0.8
"2,5-Dibromobenzaldehyde",C7H4Br2O,41.8,0.0418
"2,5-Diaminotoluene",C7H10N2,100000,100
"2,5-Cyclohexadiene-1,4-Dione, 2,5-Dibromo-3,6-Di",C6H2Br2O4,1450,1.45
"2,5-Cyclohexadiene-1,4-Dione",C6H4O2,11100,11.1
"2(5h)-Furanone, 5-Methylene-",C5H4O2,10000,10
"2-[(6-Chloro-3-Pyridazinyl)thio]-N,n-Diethylacet",C10H14ClN3OS,5000,5
"2,6-Pyridinedicarboxylic Acid, 4-Hydroxy-",C7H5NO5,1500,1.5
"2,6-Piperidinedicarboxamide",C7H13N3O2,333000,333
"2,6-Octadien-1-Ol, 3,7-Dimethyl-, (z)-",C10H18O,531,0.531
"2,6-Naphthalenediol",C10H8O2,1000,1
"2,6-Lutidine",C7H9N,300000,300
"2,6-Dinitrotoluene",C7H6N2O4,204,0.204
"2,6-Dinitrophenol",C6H4N2O5,5160,5.16
"2,6-Dinitro-Biphenyl-3-Ol",C12H8N2O5,50,0.05
"2,6-Dimethylphenol",C8H10O,6050,6.05
"2,6-Dimethylnaphthalene",C12H12,2,0.002
"2,6-Dimethylaniline",C8H11N,8240,8.24
"2,6-Dimethyl-N-Nitrosomorpholine",C6H12N2O2,124000,124
"2,6-Dimethyl-5,6-Dihydro-2h-Pyran-3-Carboxylic A",C8H12O3,25000,25
"2,6-Dimethyl-4-Pyrimidinamine",C6H9N3,6400,6.4
"2,6-Dimethyl-4-Heptanone",C9H18O,2640,2.64
"2,6-Dimethyl-4-Heptanol",C9H20O,445,0.445
"2,6-Dimethyl-1,3-Dioxan-4-Ol Acetate",C8H14O4,1000000,1000
"2,6-Dimethoxyphenol",C8H10O3,17200,17.2
"2,6-Dihydroxybenzoic Acid",C7H6O4,9560,9.56
"2,6-Dihydroxy-Anthraquinone",C14H8O4,31,0.031
"2,6-Diethylaniline",C10H15N,670,0.67
"2,6-Dichlorophenol",C6H4Cl2O,2630,2.63
"2,6-Dichloronaphthalene",C10H6Cl2,540,0.54
"2,6-Dichlorodiphenyl Ether",C12H8Cl2O,2.08,0.00208
"2,6-Dichlorobiphenyl",C12H8Cl2,2.41,0.00241
"2,6-Dichlorobenzonitrile",C7H3Cl2N,14.6,0.0146
"2,6-Dichlorobenzoic Acid",C7H4Cl2O2,14100,14.1
"2,6-Dichlorobenzamide",C7H5Cl2NO,2730,2.73
"2,6-Dichloro-4-Nitroaniline",C6H4Cl2N2O2,6.3,0.0063
"2,6-Dibromoquinonechloroimide",C6H2Br2ClNO,58.8,0.0588
"2,6-Di-t-Butylphenol",C14H22O,2.5,0.0025
"2,6-Di-t-Butyl-4-Methylphenol (bht)",C15H24O,60,0.06
"2,6-Di-T-Butyl-p-Tolyl Methylcarbamate",C17H27NO2,7,0.007
"2,6-Di-Sec-Butylphenol",C14H22O,1.8,0.0018
"2,6-Anthracenedisulfonic Acid, 4,8-Diamino-9,10-",C14H10N2O10S2,780,0.78
